listing_id,name,neighborhood,current_price,recommended_price,price_change,pct_change,accommodates,bedrooms,number_of_reviews
25909161,New York Oasis - ENTIRE PLACE,Upper East Side,113.0,178.73,65.73,58.17,2,1.0,37
648002347981302350,Sterling's Comfort,Crown Heights,171.0,153.64,-17.36,-10.15,4,2.0,31
12007175,521 West 48th- Bright Studio Near to Time Square,Hell's Kitchen,130.0,115.36,-14.64,-11.26,3,0.0,11
45176673,433 West 53-Furnished Studio in Midtown West,Hell's Kitchen,140.0,103.33,-36.67,-26.19,2,0.0,6
23810398,Bedstuy High Ceilin’ Haven 50 steps to the Train,Bedford-Stuyvesant,99.0,152.81,53.81,54.35,2,1.0,58
20714171,Midtown West New 2 BR,Hell's Kitchen,171.0,353.46,182.46,106.7,2,2.0,74
46797479,Chic Urban Retreat: Duplex with Private Roof Deck,Upper East Side,136.0,199.71,63.71,46.84,4,1.0,10
48137872,Bohemian Garden Loft,Williamsburg,950.0,314.93,-635.07,-66.85,7,3.0,25
3585452,A Beautiful Brownstone Apartment,Harlem,99.0,129.98,30.98,31.29,4,0.0,359
42584572,"The Brooklyn Loft, 30 minutes from Manhattan",Crown Heights,489.0,398.32,-90.68,-18.54,11,4.0,227
52112035,Modern Lovely 2 bedroom 10 min away from Park,Crown Heights,164.0,193.21,29.21,17.81,4,2.0,7
980617449810787175,Luxury 3BR Duplex w Private Patio in Upper East,Upper East Side,903.0,810.13,-92.87,-10.28,8,3.0,61
1155719449518235785,Charming Central Brooklyn Brownstone,Crown Heights,656.0,464.82,-191.18,-29.14,11,3.0,38
589857043016769966,Disco Den: Modern Luxury 1 Bed,Williamsburg,373.0,187.8,-185.2,-49.65,2,1.0,18
627553930119405271,LUXURY 2-BEDROOM IN CROWN HEIGHTS - Front Entrance,Crown Heights,271.0,216.69,-54.31,-20.04,6,2.0,9
823403018504800609,Cozy Bed-Stuy Cottage,Bedford-Stuyvesant,130.0,150.86,20.86,16.05,3,1.0,27
581804203112075143,Modern 2BR apartment W/D Elevator & Doorman (40),Hell's Kitchen,172.0,186.62,14.62,8.5,4,2.0,10
593999597558147807,Cityscape,Harlem,252.0,341.45,89.45,35.5,5,2.0,36
1089912037059935747,Cozy & Conveniently Located XL Studio Apartment,Hell's Kitchen,93.0,153.71,60.71,65.28,2,0.0,6
17106014,"Times Square, Huge  1 bedroom Loft Apartment",Hell's Kitchen,150.0,310.49,160.49,106.99,2,1.0,113
39878798,Stylish 2 BR on the Upper East Side,Upper East Side,167.0,152.59,-14.41,-8.63,4,2.0,8
834733705556228356,Hideaway Spot,Crown Heights,121.0,135.25,14.25,11.78,2,1.0,11
